Last login: Tue Apr 28 18:21:57 on ttys000
D-69-91-151-59:~ DarcyElizabeth$ cd Desktop/
D-69-91-151-59:Desktop DarcyElizabeth$ ls
PTMSC_Project	canada		map		soupenv
D-69-91-151-59:Desktop DarcyElizabeth$ source map/bin/activate
(map)D-69-91-151-59:Desktop DarcyElizabeth$ cd soupenv/
(map)D-69-91-151-59:soupenv DarcyElizabeth$ ls
AIS_Page.html		local			shiptracker
bin			map			shiptracker_B.py
datetime		mashup.py		test.py
include			my_map.json
lib			pip-selfcheck.json
(map)D-69-91-151-59:soupenv DarcyElizabeth$ python test.py 
1: Date/time, 2:Position, 3: Naut miles run, 4:Avg speed
1: 2015-Apr-28 22:08, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-28 16:20, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-28 01:29, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-28 00:29, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-27 22:38, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-27 18:32, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-27 04:13, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-26 23:01, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-26 22:31, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-26 22:31, 2:N 47°39' W 122°19', 3: 0, 4: 0.0
1: 2015-Apr-26 12:22, 2:N 47°39' W 122°19', 3: 1, 4: 0.0
1: 2015-Apr-26 00:08, 2:N 47°39' W 122°20', 3: 0, 4: 6.2
1: 2015-Apr-26 00:04, 2:N 47°39' W 122°20', 3: 3, 4: 5.8
1: 2015-Apr-25 23:34, 2:N 47°40' W 122°24', 3: 0, 4: 0.1
1: 2015-Apr-25 23:30, 2:N 47°40' W 122°24', 3: 3, 4: 3.3
1: 2015-Apr-25 22:34, 2:N 47°37' W 122°26', 3: 1, 4: 8.9
1: 2015-Apr-25 22:30, 2:N 47°37' W 122°26', 3: 6, 4: 6.5
1: 2015-Apr-25 21:33, 2:N 47°31' W 122°24', 3: 2, 4: 1.9
1: 2015-Apr-25 20:34, 2:N 47°31' W 122°27', 3: 2, 4: 2.0
1: 2015-Apr-25 19:33, 2:N 47°33' W 122°27', 3: 2, 4: 2.0
1: 2015-Apr-25 18:33, 2:N 47°31' W 122°26', 3: 3, 4: 2.8
1: 2015-Apr-25 17:34, 2:N 47°31' W 122°30', 3: 3, 4: 3.4
1: 2015-Apr-25 16:34, 2:N 47°34' W 122°28', 3: 6, 4: 6.3
1: 2015-Apr-25 15:33, 2:N 47°41' W 122°26', 3: 1, 4: 0.6
1: 2015-Apr-25 13:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 12:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 11:16, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 10:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 09:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 08:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 06:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 04:22, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 03:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 02:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 01:31, 2:N 47°41' W 122°24', 3: 0, 4: 0.0
1: 2015-Apr-25 00:19, 2:N 47°41' W 122°24', 3: 2, 4: 2.7
1: 2015-Apr-24 23:33, 2:N 47°42' W 122°27', 3: 1, 4: 0.6
1: 2015-Apr-24 22:33, 2:N 47°43' W 122°27', 3: 6, 4: 6.1
1: 2015-Apr-24 21:33, 2:N 47°49' W 122°27', 3: 5, 4: 4.8
1: 2015-Apr-24 20:33, 2:N 47°53' W 122°23', 3: 2, 4: 2.2
1: 2015-Apr-24 19:33, 2:N 47°54' W 122°21', 3: 3, 4: 2.6
1: 2015-Apr-24 18:33, 2:N 47°57' W 122°19', 3: 7, 4: 5.6
1: 2015-Apr-24 17:20, 2:N 48°03' W 122°24', 3: 4, 4: 4.9
1: 2015-Apr-24 16:27, 2:N 48°01' W 122°18', 3: 3, 4: 3.3
1: 2015-Apr-24 15:24, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 14:06, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 13:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 12:24, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 10:06, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 09:06, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 08:18, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 07:12, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 06:06, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-24 05:30, 2:N 47°60' W 122°13', 3: 2, 4: 1.9
1: 2015-Apr-24 04:33, 2:N 47°59' W 122°16', 3: 0, 4: 0.1
1: 2015-Apr-24 03:33, 2:N 47°59' W 122°16', 3: 6, 4: 4.8
1: 2015-Apr-24 02:20, 2:N 48°05' W 122°20', 3: 5, 4: 6.6
1: 2015-Apr-24 01:33, 2:N 47°60' W 122°19', 3: 10, 4: 4.9
1: 2015-Apr-23 23:29, 2:N 48°09' W 122°27', 3: 1, 4: 0.9
1: 2015-Apr-23 22:15, 2:N 48°10' W 122°26', 3: 1, 4: 1.9
1: 2015-Apr-23 21:30, 2:N 48°09' W 122°25', 3: 5, 4: 4.8
1: 2015-Apr-23 20:28, 2:N 48°04' W 122°21', 3: 4, 4: 4.0
1: 2015-Apr-23 19:30, 2:N 48°01' W 122°18', 3: 2, 4: 2.4
1: 2015-Apr-23 18:34, 2:N 47°59' W 122°16', 3: 2, 4: 1.8
1: 2015-Apr-23 17:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 16:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 15:12, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 14:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 13:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 12:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 11:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
